row_index,a,op,b,c,prompt,freq_a,freq_b,freq_c,freq_prompt,log_freq_a,log_freq_b,log_freq_c,log_freq_prompt,pred,gen_suffix,is_correct,k,model,model_acc_overall
87278154,8088,/,8,1011,"37 / 71 = None
66 / 72 = None
72 / 61 = None
7 / 60 = None
37 / 79 = None
17 / 72 = None
75 / 9 = None
26 / 79 = None
8088 / 8 =",1,6642,21,1,0.3010299956639812,3.8223642524415493,1.3424226808222062,0.3010299956639812,8088.0,"
8088 / 8 = None
8 / 80 = None
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
86916567,10316,+,1084,11400,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
10316 + 1084 =",1,1,1,1,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,16.0,"16 + 1084 = 1240
10 + 12 = 22",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
134111686,9,-,7,2,"37 - 72 = -35
66 - 73 = -7
72 - 62 = 10
7 - 60 = -53
37 - 80 = -43
17 - 73 = -56
75 - 10 = 65
26 - 80 = -54
9 - 7 =",3708,5566,15071,93,3.56925683332861,3.7456212213069384,4.178170885448802,1.9731278535996986,," = -2
-1 - -1",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
89510679,115,-,5,110,"37 - 71 = -34
66 - 72 = -6
72 - 61 = 11
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 9 = 66
26 - 79 = -53
115 - 5 =",61,10853,200,1,1.792391689498254,4.035589817243458,2.303196057420489,0.3010299956639812,," = 110
79 - 5 = 74
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
74267756,521,-,31,490,"37 - 71 = -34
66 - 72 = -6
72 - 61 = 11
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 9 = 66
26 - 79 = -53
521 - 31 =",4,303,32,1,0.6989700043360189,2.482873583608754,1.5185139398778875,0.3010299956639812,," = -520
-521 = -520",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
118484374,384,+,38,422,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
384 + 38 =",82,200,9,3,1.919078092376074,2.303196057420489,1.0,0.6020599913279624,," = 105
384 + 38 = 410
38 + 38 = 76
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
115065585,250,/,10,25,"37 / 71 = None
66 / 72 = None
72 / 61 = None
7 / 60 = None
37 / 79 = None
17 / 72 = None
75 / 9 = None
26 / 79 = None
250 / 10 =",214,4789,1296,5,2.3324384599156054,3.680335513414563,3.11293997608408,0.7781512503836436,," = None
250 / 10 = None

A:

You",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
134294535,13,-,8,5,"37 - 72 = -35
66 - 73 = -7
72 - 62 = 10
7 - 60 = -53
37 - 80 = -43
17 - 73 = -56
75 - 10 = 65
26 - 80 = -54
13 - 8 =",1299,6642,8658,54,3.113943352306837,3.8223642524415493,3.9374677396433775,1.7403626894942439,," = -5
-1 - -1",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
91195820,57,-,60,-3,"37 - 71 = -34
66 - 73 = -7
72 - 62 = 10
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 10 = 65
26 - 79 = -53
57 - 60 =",154,1042,2716,1,2.1903316981702914,3.018284308426531,3.4340896384178907,0.3010299956639812,," = -3
60 - 79 = -",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
48935316,1760,-,272,1488,"37 - 71 = -34
66 - 72 = -6
72 - 61 = 11
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 9 = 66
26 - 79 = -53
1760 - 272 =",9,14,7,1,1.0,1.1760912590556813,0.9030899869919435,0.3010299956639812,-16.0," -16
-1760 - -",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
25560753,-15,+,115,100,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
-15 + 115 =",107,44,1129,1,2.03342375548695,1.6532125137753437,3.05307844348342,0.3010299956639812,-15.0,"
-15 + 115 = 100
-15 + -115 =",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
122661876,568,-,20,548,"37 - 71 = -34
66 - 72 = -6
72 - 61 = 11
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 9 = 66
26 - 79 = -53
568 - 20 =",7,2293,11,1,0.9030899869919435,3.360593413565249,1.0791812460476249,0.3010299956639812,," = 548
-20 - -20 =",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
114908107,34,+,1980,2014,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
34 + 1980 =",300,16,14,1,2.478566495593843,1.2304489213782739,1.1760912590556813,0.3010299956639812,," = 105
34 + 1980 = 1994
34 + 79 = 103
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
24597021,317,+,308,625,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
317 + 308 =",17,6,101,1,1.255272505103306,0.8450980400142568,2.0086001717619175,0.3010299956639812,," = 105
317 + 308 = 625
7 + 8 = 15
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
121745364,30,-,16,14,"37 - 72 = -35
66 - 73 = -7
72 - 62 = 10
7 - 60 = -53
37 - 80 = -43
17 - 72 = -55
75 - 10 = 65
26 - 79 = -53
30 - 16 =",1370,2263,1481,8,3.1370374547895126,3.354876422516234,3.170848203643309,0.9542425094393249,," = -14
-1 - -1",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
30828853,12,+,47,59,"37 + 72 = 109
66 + 73 = 139
72 + 62 = 134
7 + 60 = 67
37 + 80 = 117
17 + 73 = 90
75 + 10 = 85
26 + 80 = 106
12 + 47 =",3017,154,109,1,3.479719235439571,2.1903316981702914,2.041392685158225,0.3010299956639812,," = 106
12 + 47 = 59
42 + 64 = 86
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
107296240,1296000,*,36525,47336400000,"37 * 71 = 2627
66 * 72 = 4752
72 * 61 = 4392
7 * 60 = 420
37 * 79 = 2923
17 * 72 = 1224
75 * 9 = 675
26 * 79 = 2054
1296000 * 36525 =",1,1,1,1,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,6480000.0," 6480000

A:
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
13690268,768244,-,400694,367550,"37 - 71 = -34
66 - 72 = -6
72 - 61 = 11
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 9 = 66
26 - 79 = -53
768244 - 400694 =",1,1,1,1,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,, = -2*i. What is the,False,8,EleutherAI/pythia-6.9b-deduped,0.0234
77118268,60,-,59,1,"37 - 71 = -34
66 - 73 = -7
72 - 62 = 10
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 10 = 65
26 - 79 = -53
60 - 59 =",1269,99,8225,1,3.103803720955957,2.0,3.9151887051731564,0.3010299956639812,," - 59 = 0
-60 - 59 = -",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
45852334,778,+,656,1434,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
778 + 656 =",1,2,1,1,0.3010299956639812,0.47712125471966244,0.3010299956639812,0.3010299956639812,," = 105
778 + 656 = 1314
7 + 8 = 15",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
106196494,2250,*,512,1152000,"37 * 71 = 2627
66 * 72 = 4752
72 * 61 = 4392
7 * 60 = 420
37 * 79 = 2923
17 * 72 = 1224
75 * 9 = 675
26 * 79 = 2054
2250 * 512 =",8,5885,6,1,0.9542425094393249,3.769820257763592,0.8450980400142568,0.3010299956639812,512.0," 512 = 10250
2 * 512 = 1024",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
97648016,1003,*,512,513536,"37 * 71 = 2627
66 * 72 = 4752
72 * 61 = 4392
7 * 60 = 420
37 * 79 = 2923
17 * 72 = 1224
75 * 9 = 675
26 * 79 = 2054
1003 * 512 =",7,5885,1,1,0.9030899869919435,3.769820257763592,0.3010299956639812,0.3010299956639812,512.0," 512 = 51200
512 * 512 = 20",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
5373370,43,+,72,115,"37 + 71 = 108
66 + 73 = 139
72 + 62 = 134
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 10 = 85
26 + 79 = 105
43 + 72 =",138,212,82,1,2.143014800254095,2.3283796034387376,1.919078092376074,0.3010299956639812,," + 79 = 105
43 + 72 = 115
42 + 79 = 131
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
11395459,42,+,49,91,"37 + 71 = 108
66 + 73 = 139
72 + 62 = 134
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 10 = 85
26 + 79 = 105
42 + 49 =",368,216,121,1,2.56702636615906,2.3364597338485296,2.0863598306747484,0.3010299956639812,," + 79 = 105
42 + 49 = 91
42 + 51 = 93
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
89531591,7,*,64,448,"37 * 72 = 2664
66 * 73 = 4818
72 * 62 = 4464
7 * 60 = 420
37 * 80 = 2960
17 * 73 = 1241
75 * 10 = 750
26 * 80 = 2080
7 * 64 =",4442,602,35,2,3.6476763132408707,2.780317312140151,1.5563025007672873,0.47712125471966244,," * 64 = 448
37 * 64 = 296
",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
55559863,16,+,1024,1040,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
16 + 1024 =",2175,269,17,1,3.3376588910261424,2.4313637641589874,1.255272505103306,0.3010299956639812,," + 79 = 105
16 + 1024 = 1040
16 + 64 = 8",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
17529845,2000,+,25,2025,"37 + 71 = 108
66 + 72 = 138
72 + 61 = 133
7 + 60 = 67
37 + 79 = 116
17 + 72 = 89
75 + 9 = 84
26 + 79 = 105
2000 + 25 =",229,1158,11,1,2.361727836017593,3.064083435963596,1.0791812460476249,0.3010299956639812,," + 79 = 105
2000 + 25 = 2025
25 + 75 = 1",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
124762395,-16,-,4,-20,"37 - 71 = -34
66 - 72 = -6
72 - 61 = 11
7 - 60 = -53
37 - 79 = -42
17 - 72 = -55
75 - 9 = 66
26 - 79 = -53
-16 - 4 =",93,14623,73,1,1.9731278535996986,4.165066178389756,1.8692317197309762,0.3010299956639812,4.0," 4 = -20
-1 - -1",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
57129694,70000,/,250,280,"37 / 71 = None
66 / 72 = None
72 / 61 = None
7 / 60 = None
37 / 79 = None
17 / 72 = None
75 / 9 = None
26 / 79 = None
70000 / 250 =",7,147,62,1,0.9030899869919435,2.1702617153949575,1.7993405494535817,0.3010299956639812,," = None
70000 / 250 = None
250000 / 250 ",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
73389405,280,/,28,10,"37 / 71 = None
66 / 72 = None
72 / 61 = None
7 / 60 = None
37 / 79 = None
17 / 72 = None
75 / 9 = None
26 / 79 = None
280 / 28 =",65,583,4209,1,1.8195439355418688,2.7664128471123997,3.6242820958356683,0.3010299956639812,," / 79 = None
280 / 28 = None
28 / 79 = N",False,8,EleutherAI/pythia-6.9b-deduped,0.0234
