op,a,b,x,y,answer,problem_size,freq,surprisal,target_logprob,avg_target_logprob,n_target_tokens,prediction,correct
+,1,1,1,1,2,2,7196,0.2158203125,-0.2158203125,-0.2158203125,1,2,True
+,1,2,1,2,3,3,2808,0.043487548828125,-0.043487548828125,-0.043487548828125,1,3,True
+,1,3,1,3,4,4,1111,0.08282470703125,-0.08282470703125,-0.08282470703125,1,4,True
+,1,4,1,4,5,5,787,0.01468658447265625,-0.01468658447265625,-0.01468658447265625,1,5,True
+,1,5,1,5,6,6,400,0.0225372314453125,-0.0225372314453125,-0.0225372314453125,1,6,True
+,1,6,1,6,7,7,300,0.007366180419921875,-0.007366180419921875,-0.007366180419921875,1,7,True
+,1,7,1,7,8,8,200,0.022216796875,-0.022216796875,-0.022216796875,1,8,True
+,1,8,1,8,9,9,413,0.01032257080078125,-0.01032257080078125,-0.01032257080078125,1,9,True
+,1,9,1,9,10,10,217,0.046844482421875,-0.046844482421875,-0.046844482421875,1,10,True
+,1,10,1,10,11,11,86,0.0150299072265625,-0.0150299072265625,-0.0150299072265625,1,11,True
+,1,11,1,11,12,12,37,0.0645751953125,-0.0645751953125,-0.0645751953125,1,12,True
+,1,12,1,12,13,13,22,0.01294708251953125,-0.01294708251953125,-0.01294708251953125,1,13,True
+,1,13,1,13,14,14,13,0.0214691162109375,-0.0214691162109375,-0.0214691162109375,1,14,True
+,1,14,1,14,15,15,10,0.139892578125,-0.139892578125,-0.139892578125,1,15,True
+,1,15,1,15,16,16,16,0.08380126953125,-0.08380126953125,-0.08380126953125,1,16,True
+,1,16,1,16,17,17,25,0.093994140625,-0.093994140625,-0.093994140625,1,17,True
+,1,17,1,17,18,18,11,0.09112548828125,-0.09112548828125,-0.09112548828125,1,18,True
+,1,18,1,18,19,19,7,0.01546478271484375,-0.01546478271484375,-0.01546478271484375,1,19,True
+,1,19,1,19,20,20,13,0.0728759765625,-0.0728759765625,-0.0728759765625,1,20,True
+,1,20,1,20,21,21,22,0.1307373046875,-0.1307373046875,-0.1307373046875,1,21,True
+,1,21,1,21,22,22,2,0.1131591796875,-0.1131591796875,-0.1131591796875,1,22,True
+,1,22,1,22,23,23,2,0.07757568359375,-0.07757568359375,-0.07757568359375,1,23,True
+,1,23,1,23,24,24,9,0.11663818359375,-0.11663818359375,-0.11663818359375,1,24,True
+,1,24,1,24,25,25,8,0.056488037109375,-0.056488037109375,-0.056488037109375,1,25,True
+,1,25,1,25,26,26,7,0.08935546875,-0.08935546875,-0.08935546875,1,26,True
+,1,26,1,26,27,27,5,0.3349609375,-0.3349609375,-0.3349609375,1,27,True
+,1,27,1,27,28,28,3,0.0863037109375,-0.0863037109375,-0.0863037109375,1,28,True
+,1,28,1,28,29,29,4,0.05560302734375,-0.05560302734375,-0.05560302734375,1,29,True
+,1,29,1,29,30,30,6,0.2332763671875,-0.2332763671875,-0.2332763671875,1,30,True
+,1,30,1,30,31,31,2,0.057159423828125,-0.057159423828125,-0.057159423828125,1,31,True
+,1,31,1,31,32,32,8,0.050811767578125,-0.050811767578125,-0.050811767578125,1,32,True
+,1,32,1,32,33,33,3,0.037872314453125,-0.037872314453125,-0.037872314453125,1,33,True
+,1,33,1,33,34,34,1,0.11328125,-0.11328125,-0.11328125,1,34,True
+,1,34,1,34,35,35,3,0.279541015625,-0.279541015625,-0.279541015625,1,35,True
+,1,35,1,35,36,36,10,0.06903076171875,-0.06903076171875,-0.06903076171875,1,36,True
+,1,36,1,36,37,37,7,0.034210205078125,-0.034210205078125,-0.034210205078125,1,37,True
+,1,37,1,37,38,38,0,0.0252838134765625,-0.0252838134765625,-0.0252838134765625,1,38,True
+,1,38,1,38,39,39,1,0.043701171875,-0.043701171875,-0.043701171875,1,39,True
+,1,39,1,39,40,40,1,0.05291748046875,-0.05291748046875,-0.05291748046875,1,40,True
+,1,40,1,40,41,41,2,0.029876708984375,-0.029876708984375,-0.029876708984375,1,41,True
+,1,41,1,41,42,42,0,0.16015625,-0.16015625,-0.16015625,1,42,True
+,1,42,1,42,43,43,2,0.04833984375,-0.04833984375,-0.04833984375,1,43,True
+,1,43,1,43,44,44,0,0.04290771484375,-0.04290771484375,-0.04290771484375,1,44,True
+,1,44,1,44,45,45,2,0.279541015625,-0.279541015625,-0.279541015625,1,45,True
+,1,45,1,45,46,46,2,0.0892333984375,-0.0892333984375,-0.0892333984375,1,46,True
+,1,46,1,46,47,47,0,0.07879638671875,-0.07879638671875,-0.07879638671875,1,47,True
+,1,47,1,47,48,48,0,0.07666015625,-0.07666015625,-0.07666015625,1,48,True
+,1,48,1,48,49,49,4,0.08184814453125,-0.08184814453125,-0.08184814453125,1,49,True
+,1,49,1,49,50,50,5,0.058929443359375,-0.058929443359375,-0.058929443359375,1,50,True
+,1,50,1,50,51,51,4,0.1304931640625,-0.1304931640625,-0.1304931640625,1,51,True
+,1,51,1,51,52,52,0,0.202392578125,-0.202392578125,-0.202392578125,1,52,True
+,1,52,1,52,53,53,1,0.2509765625,-0.2509765625,-0.2509765625,1,53,True
+,1,53,1,53,54,54,0,0.2130126953125,-0.2130126953125,-0.2130126953125,1,54,True
+,1,54,1,54,55,55,0,0.227294921875,-0.227294921875,-0.227294921875,1,55,True
+,1,55,1,55,56,56,0,0.460693359375,-0.460693359375,-0.460693359375,1,56,True
+,1,56,1,56,57,57,1,0.17236328125,-0.17236328125,-0.17236328125,1,57,True
+,1,57,1,57,58,58,1,0.11859130859375,-0.11859130859375,-0.11859130859375,1,58,True
+,1,58,1,58,59,59,0,0.2034912109375,-0.2034912109375,-0.2034912109375,1,59,True
+,1,59,1,59,60,60,0,0.55615234375,-0.55615234375,-0.55615234375,1,60,True
+,1,60,1,60,61,61,1,0.06488037109375,-0.06488037109375,-0.06488037109375,1,61,True
+,1,61,1,61,62,62,2,0.254150390625,-0.254150390625,-0.254150390625,1,62,True
+,1,62,1,62,63,63,0,0.14453125,-0.14453125,-0.14453125,1,63,True
+,1,63,1,63,64,64,2,0.7607421875,-0.7607421875,-0.7607421875,1,64,True
+,1,64,1,64,65,65,9,0.3291015625,-0.3291015625,-0.3291015625,1,65,True
+,1,65,1,65,66,66,0,0.71533203125,-0.71533203125,-0.71533203125,1,66,True
+,1,66,1,66,67,67,0,0.66357421875,-0.66357421875,-0.66357421875,1,67,True
+,1,67,1,67,68,68,2,0.6083984375,-0.6083984375,-0.6083984375,1,68,True
+,1,68,1,68,69,69,0,0.237060546875,-0.237060546875,-0.237060546875,1,69,True
+,1,69,1,69,70,70,0,0.339111328125,-0.339111328125,-0.339111328125,1,70,True
+,1,70,1,70,71,71,1,0.073486328125,-0.073486328125,-0.073486328125,1,71,True
+,1,71,1,71,72,72,0,0.318359375,-0.318359375,-0.318359375,1,72,True
+,1,72,1,72,73,73,0,0.280029296875,-0.280029296875,-0.280029296875,1,73,True
+,1,73,1,73,74,74,0,0.16015625,-0.16015625,-0.16015625,1,74,True
+,1,74,1,74,75,75,0,0.289794921875,-0.289794921875,-0.289794921875,1,75,True
+,1,75,1,75,76,76,0,0.1517333984375,-0.1517333984375,-0.1517333984375,1,76,True
+,1,76,1,76,77,77,1,0.122314453125,-0.122314453125,-0.122314453125,1,77,True
+,1,77,1,77,78,78,1,0.302490234375,-0.302490234375,-0.302490234375,1,78,True
+,1,78,1,78,79,79,0,0.1632080078125,-0.1632080078125,-0.1632080078125,1,79,True
+,1,79,1,79,80,80,0,0.44384765625,-0.44384765625,-0.44384765625,1,80,True
+,1,80,1,80,81,81,1,0.1964111328125,-0.1964111328125,-0.1964111328125,1,81,True
+,1,81,1,81,82,82,2,0.6845703125,-0.6845703125,-0.6845703125,1,82,True
+,1,82,1,82,83,83,0,0.23486328125,-0.23486328125,-0.23486328125,1,83,True
+,1,83,1,83,84,84,0,0.56884765625,-0.56884765625,-0.56884765625,1,84,True
+,1,84,1,84,85,85,0,0.341552734375,-0.341552734375,-0.341552734375,1,85,True
+,1,85,1,85,86,86,0,0.19287109375,-0.19287109375,-0.19287109375,1,86,True
+,1,86,1,86,87,87,0,0.2265625,-0.2265625,-0.2265625,1,87,True
+,1,87,1,87,88,88,0,0.360595703125,-0.360595703125,-0.360595703125,1,88,True
+,1,88,1,88,89,89,0,0.229248046875,-0.229248046875,-0.229248046875,1,89,True
+,1,89,1,89,90,90,2,0.39208984375,-0.39208984375,-0.39208984375,1,90,True
+,1,90,1,90,91,91,1,0.2734375,-0.2734375,-0.2734375,1,91,True
+,1,91,1,91,92,92,0,0.2493896484375,-0.2493896484375,-0.2493896484375,1,92,True
+,1,92,1,92,93,93,0,0.050994873046875,-0.050994873046875,-0.050994873046875,1,93,True
+,1,93,1,93,94,94,0,0.2098388671875,-0.2098388671875,-0.2098388671875,1,94,True
+,1,94,1,94,95,95,1,0.320556640625,-0.320556640625,-0.320556640625,1,95,True
+,1,95,1,95,96,96,0,0.2408447265625,-0.2408447265625,-0.2408447265625,1,96,True
+,1,96,1,96,97,97,0,0.1270751953125,-0.1270751953125,-0.1270751953125,1,97,True
+,1,97,1,97,98,98,0,0.1986083984375,-0.1986083984375,-0.1986083984375,1,98,True
+,1,98,1,98,99,99,0,0.1513671875,-0.1513671875,-0.1513671875,1,99,True
+,1,99,1,99,100,100,14,0.350830078125,-0.350830078125,-0.350830078125,1,100,True
+,1,100,1,100,101,101,43,0.1748046875,-0.1748046875,-0.1748046875,1,101,True
+,2,1,2,1,3,3,1962,0.0190887451171875,-0.0190887451171875,-0.0190887451171875,1,3,True
+,2,2,2,2,4,4,7099,0.072265625,-0.072265625,-0.072265625,1,4,True
+,2,3,2,3,5,5,1957,0.0310516357421875,-0.0310516357421875,-0.0310516357421875,1,5,True
+,2,4,2,4,6,6,530,0.032470703125,-0.032470703125,-0.032470703125,1,6,True
+,2,5,2,5,7,7,359,0.05657958984375,-0.05657958984375,-0.05657958984375,1,7,True
+,2,6,2,6,8,8,227,0.0211334228515625,-0.0211334228515625,-0.0211334228515625,1,8,True
+,2,7,2,7,9,9,355,0.2193603515625,-0.2193603515625,-0.2193603515625,1,9,True
+,2,8,2,8,10,10,184,0.016357421875,-0.016357421875,-0.016357421875,1,10,True
+,2,9,2,9,11,11,147,0.1348876953125,-0.1348876953125,-0.1348876953125,1,11,True
+,2,10,2,10,12,12,62,0.0528564453125,-0.0528564453125,-0.0528564453125,1,12,True
+,2,11,2,11,13,13,15,0.19482421875,-0.19482421875,-0.19482421875,1,13,True
+,2,12,2,12,14,14,33,0.0439453125,-0.0439453125,-0.0439453125,1,14,True
+,2,13,2,13,15,15,11,0.37255859375,-0.37255859375,-0.37255859375,1,15,True
+,2,14,2,14,16,16,16,0.4130859375,-0.4130859375,-0.4130859375,1,16,True
+,2,15,2,15,17,17,8,0.88134765625,-0.88134765625,-0.88134765625,1,19,False
+,2,16,2,16,18,18,19,0.6845703125,-0.6845703125,-0.6845703125,1,18,True
+,2,17,2,17,19,19,7,0.22607421875,-0.22607421875,-0.22607421875,1,19,True
+,2,18,2,18,20,20,13,0.1456298828125,-0.1456298828125,-0.1456298828125,1,20,True
+,2,19,2,19,21,21,5,2.4609375,-2.4609375,-2.4609375,1,22,False
+,2,20,2,20,22,22,10,0.195556640625,-0.195556640625,-0.195556640625,1,22,True
